title,year,director,country,duration,genre,first_day,first_week,first_weekend,hebdo_rank,total_spectator,copies,rating_press,rating_public,casting,budget,lang,visa,award
che 2eme partie guerilla,2008,steven soderbergh,etatsunis,7620,aventure action,12235.0,87934,70767.0,13,172914,280,,,,9460000.0,,,
blade ii,2002,guillermo del toro,etatsunis,6900,comicbook,87208.0,683115,375198.0,2,1238432,532,3.5,2.9,"[""Wesley Snipes"", ""Kris Kristofferson"", ""Ron Perlman"", ""Léonor Varela""]",55000000.0,"[""anglais""]",105464.0,0.0
bowfinger roi dhollywood,1999,frank oz,etatsunis,5880,comedie,66415.0,152111,342299.4,8,207232,328,3.1,2.7,"[""Barry Newman"", ""John Cho"", ""Steve Martin"", ""Eddie Murphy""]",55000000.0,"[""anglais""]",-1.0,0.0
les tuche 2 le reve americain,2016,olivier baroux,france,5640,comedie,201264.0,1502557,1149615.0,1,4619897,603,2.8,2.2,"[""Jean-Paul Rouve"", ""Isabelle Nanty"", ""Claire Nadeau"", ""Sarah Stern""]",88068000.0,"[""francais""]",142812.0,1.0
scream,1996,wes craven,etatsunis,6600,horreur,76704.29752953813,335687,378094.05652680655,1,2207347,250,,,,224575553.58251366,,,
le 13eme guerrier,1999,john mctiernan,etatsunis,6720,aventure action,76704.29752953813,496127,378094.05652680655,2,1229051,497,,,,224575553.58251366,,,
une vie volee,2000,james mangold,etatsunis,7620,drame,97380.0,57980,364114.8,7,101083,-1,3.0,3.6,"[""Winona Ryder"", ""Elisabeth Moss"", ""Angelina Jolie"", ""Clea DuVall""]",24000000.0,"[""anglais""]",-1.0,0.0
summer of sam,1999,spike lee,etatsunis,8520,thriller,76704.29752953813,66228,378094.05652680655,12,101996,94,,,,224575553.58251366,,,
cars,2006,john lasseter,etatsunis,6960,animation,91911.0,438793,376863.0,1,2068442,733,4.0,3.8,[],70000000.0,"[""anglais""]",115593.0,8.0
un monde meilleur,2000,mimi leder,etatsunis,7380,drame,9603.6,58190,47386.0,15,118205,-1,,,,41800000.0,,,
lage de glace,2002,chris wedge,etatsunis,4860,animation,102081.0,617707,435166.0,2,3029752,651,4.1,4.2,[],60000000.0,"[""anglais""]",104812.0,0.0
evil dead iii larmee des tenebres,1993,sam raimi,etatsunis,5760,horreur,76704.29752953813,63433,378094.05652680655,9,143100,72,,,,224575553.58251366,,,
numero une,2017,tonie marshall,france,6600,comedie dramatique,12256.0,70592,53911.0,9,183218,188,3.3,3.1,"[""Emmanuelle Devos"", ""Suzanne Clément"", ""Richard Berry"", ""Benjamin Biolay""]",9260000.0,"[""francais""]",144735.0,0.0
un moment degarement 2015,2015,jeanfrancois richet,france,6300,comedie dramatique,40738.0,303270,199483.0,3,854153,430,,,,46478000.0,,,
sicario,2015,denis villeneuve,etatsunis,7260,thriller,22961.0,178566,140900.0,4,443157,285,4.0,4.0,"[""Emily Blunt"", ""Benicio Del Toro"", ""Josh Brolin"", ""Jon Bernthal""]",32000000.0,"[""anglais"", ""espagnol""]",143177.0,0.0
9 mois ferme,2013,albert dupontel,france,4860,comedie,67123.0,546618,407718.0,2,2070776,360,4.1,3.7,"[""Sandrine Kiberlain"", ""Albert Dupontel"", ""Nicolas Marié"", ""Philippe Uchan""]",50600000.0,"[""francais""]",134562.0,3.0
evil dead rep 2003,2003,sam raimi,etatsunis,4800,horreur,6091.0,36302,29925.0,18,63594,67,,,,100200000.0,,,
sept ans au tibet,1997,jeanjacques annaud,etatsunis,8100,aventure action,82266.0,672461,366993.8,2,2793855,379,2.6,3.9,"[""Brad Pitt"", ""David Thewlis"", ""Jamyang Jamtsho Wangchuk"", ""B.D. Wong""]",70000000.0,"[""anglais"", ""allemand"", ""hindi"", ""mandarin""]",93100.0,0.0
evolution,2001,ivan reitman,etatsunis,6120,comedie,91865.0,399608,329061.0,2,807094,539,3.0,2.8,"[""David Duchovny"", ""Julianne Moore"", ""Orlando Jones"", ""Ted Levine""]",80000000.0,"[""anglais""]",102930.0,0.0
anna et le roi,1999,andy tennant,etatsunis,8880,romance,76704.29752953813,283551,378094.05652680655,2,1075184,347,,,,224575553.58251366,,,
sos fantomes lheritage,2021,jason reitman,etatsunis,7440,fantasy,54223.0,280226,254596.0,2,615358,662,3.0,3.4,"[""Carrie Coon"", ""Finn Wolfhard"", ""Mckenna Grace"", ""Paul Rudd""]",57600000.0,"[""anglais""]",155596.0,0.0
le nouveau jouet,2022,james huth,france,6720,comedie,36082.0,271139,183086.0,4,903309,495,3.5,2.5,"[""Jamel Debbouze"", ""Daniel Auteuil"", ""Simon Faliu"", ""Alice Belaïdi""]",689594000.0,"[""francais""]",155775.0,0.0
dr kinsey,2004,bill condon,etatsunis,7080,drame,5270.0,57718,32899.2,13,102603,173,,,,17200000.0,,,
hannibal,2001,ridley scott,etatsunis,7860,thriller,228410.0,1197707,1033072.0,1,2579878,597,3.3,3.6,"[""Anthony Hopkins"", ""Julianne Moore"", ""Gary Oldman"", ""Ray Liotta""]",87000000.0,"[""anglais""]",101696.0,0.0
windtalkers les messagers du vent,2002,john woo,etatsunis,8040,guerre,39809.0,221836,187997.0,3,379769,389,3.3,2.8,"[""Nicolas Cage"", ""Adam Beach"", ""Christian Slater"", ""Roger Willie""]",100000000.0,"[""anglais""]",-1.0,0.0
star wars lascension de skywalker,2019,jj abrams,etatsunis,8520,fantasy,392483.0,2420710,1886610.0,1,5911207,731,3.1,3.0,"[""Daisy Ridley"", ""Adam Driver"", ""Oscar Isaac"", ""Keri Russell""]",133600000.0,"[""anglais""]",151940.0,0.0
le roi lion 3d,2011,rob minkoff,etatsunis,5340,animation,38831.0,210904,151593.0,8,582856,303,,,,511536000.0,,,
bowling for columbine,2002,michael moore,etatsunis,7200,documentaire,15171.0,135518,77471.4,6,1010830,141,4.3,3.9,"[""Michael Moore"", ""Charlton Heston"", ""Marilyn Manson"", ""Matt Stone""]",29000000.0,"[""anglais""]",106437.0,2.0
transformers,2007,michael bay,etatsunis,8640,science fiction,259387.0,956475,790823.0,2,1984829,872,2.5,3.1,"[""Shia LaBeouf"", ""Megan Fox"", ""Josh Duhamel"", ""Tyrese Gibson""]",151000000.0,"[""anglais""]",118062.0,1.0
hero,2002,zhang yimou,chine,5880,aventure action,52519.0,329213,275682.0,1,732307,375,,,,359200000.0,,,
la vengeance dans la peau,2007,paul greengrass,etatsunis,6660,aventure action,104783.0,584326,480471.0,1,1539364,509,3.6,4.0,"[""Matt Damon"", ""Joan Allen"", ""David Strathairn"", ""Julia Stiles""]",110000000.0,"[""anglais""]",118719.0,5.0
innocents the dreamers,2003,bernardo bertolucci,france,6960,drame,7577.0,47922,46369.6,13,79849,-1,3.3,3.3,"[""Michael Pitt"", ""Eva Green"", ""Louis Garrel"", ""Robin Renucci""]",97600000.0,"[""anglais"", ""francais""]",-1.0,0.0
total western,2000,eric rochant,france,6300,thriller,76704.29752953813,57791,378094.05652680655,10,77978,150,2.8,2.6,"[""Samuel Le Bihan"", ""Jean-François Stévenin"", ""Jean-Pierre Kalfon"", ""Youssef Diawara""]",224575553.58251366,"[""francais""]",-1.0,0.0
a lattaque,2000,robert guediguian,france,5400,comedie,76704.29752953813,118715,378094.05652680655,10,265714,-1,3.3,3.2,"[""Ariane Ascaride"", ""Jacques Boudet"", ""Christine Brücher"", ""Pierre Banderet""]",224575553.58251366,"[""francais""]",-1.0,0.0
showgirls,1995,paul verhoeven,etatsunis,7860,comedie dramatique,76704.29752953813,284353,378094.05652680655,4,735563,-1,,,,224575553.58251366,,,
rasta rockett,1993,jon turteltaub,etatsunis,6480,film familial,76704.29752953813,227393,378094.05652680655,3,2523167,123,,,,224575553.58251366,,,
les valeurs de la famille addams,1993,barry sonnenfeld,etatsunis,5700,comedie,76704.29752953813,278199,378094.05652680655,4,982079,286,-1.0,3.6,"[""Anjelica Huston"", ""Raúl Julia"", ""Christopher Lloyd"", ""Joan Cusack""]",224575553.58251366,"[""anglais""]",84575.0,0.0
agents secrets,2004,frederic schoendoerffer,france,6540,thriller,64370.0,395151,324074.0,3,842774,370,3.2,1.7,"[""Vincent Cassel"", ""Monica Bellucci"", ""Charles Berling"", ""André Dussollier""]",14610000.0,"[""anglais"", ""francais"", ""allemand"", ""espagnol""]",100384.0,0.0
bienvenue a collinwood,2002,russo brothers,etatsunis,4800,comedie,58473.8,32938,278802.4,12,51442,-1,3.0,2.5,"[""Luis Guzmán"", ""Patricia Clarkson"", ""Andrew Davoli"", ""George Clooney""]",8000000.0,"[""anglais""]",-1.0,0.0
les larmes du soleil,2003,antoine fuqua,etatsunis,7080,guerre,32217.0,241051,177134.8,3,558572,270,2.0,3.1,"[""Bruce Willis"", ""Monica Bellucci"", ""Cole Hauser"", ""Johnny Messner""]",70000000.0,"[""anglais""]",107513.0,0.0
lempereur de paris,2018,jeanfrancois richet,france,6600,aventure action,34643.0,268859,210000.0,5,813978,464,2.9,3.2,"[""Vincent Cassel"", ""Freya Mavor"", ""Denis Ménochet"", ""August Diehl""]",220716000.0,"[""francais""]",147046.0,0.0
grace a dieu,2019,francois ozon,france,7680,drame,48044.0,275767,213161.0,7,915327,288,4.1,4.2,"[""Melvil Poupaud"", ""Denis Ménochet"", ""Swann Arlaud"", ""Eric Caravaca""]",59920000.0,"[""francais""]",148389.0,2.0
apres vous,2003,pierre salvadori,france,6600,comedie,29837.0,267958,206147.0,3,921712,350,3.8,2.7,"[""Daniel Auteuil"", ""Sandrine Kiberlain"", ""José Garcia"", ""Marilyne Canto""]",8700000.0,"[""francais""]",95374.0,0.0
snatch,2000,guy ritchie,grandebretagne,6180,comedie,25517.0,195678,159225.0,3,585877,222,3.7,4.2,"[""Jason Statham"", ""Brad Pitt"", ""Vinnie Jones"", ""Stephen Graham""]",10000000.0,"[""anglais"", ""russe""]",100782.0,0.0
millenium les hommes qui naimaient pas les femmes,2011,david fincher,etatsunis,9600,thriller,56957.0,477509,395001.0,1,1080239,520,,,,52600000.0,,,
la ville est tranquille,2001,robert guediguian,france,7980,drame,6590.0,62604,39490.4,8,244474,94,3.7,3.6,"[""Ariane Ascaride"", ""Jean-Pierre Darroussin"", ""Pierre Banderet"", ""Véronique Balme""]",32200000.0,"[""francais""]",-1.0,0.0
la doublure,2006,francis veber,france,4980,comedie,155173.0,1164333,968731.0,1,3087562,720,2.4,2.7,"[""Alice Taglioni"", ""Daniel Auteuil"", ""Michel Aumont"", ""Karl Lagerfeld""]",25320000.0,"[""francais""]",111940.0,1.0
place vendome,1998,nicole garcia,france,7020,drame,76704.29752953813,296297,378094.05652680655,3,934070,176,,,,224575553.58251366,,,
the creator,2023,gareth edwards,etatsunis,7980,science fiction,31281.0,262507,223594.0,1,755008,447,3.5,3.7,"[""John David Washington"", ""Gemma Chan"", ""Ken Watanabe"", ""Sturgill Simpson""]",132200000.0,"[""anglais""]",160348.0,0.0
no pain no gain,2013,michael bay,etatsunis,7740,comedie dramatique,33919.0,192897,164602.0,2,327085,254,3.1,3.3,"[""Mark Wahlberg"", ""Dwayne Johnson"", ""Ed Harris"", ""Anthony Mackie""]",26000000.0,"[""anglais""]",136733.0,0.0
joker 2015,2015,simon west,etatsunis,5520,aventure action,25858.0,196170,167051.0,3,313577,211,,,,231400000.0,,,
the little man,2006,keenen ivory wayans,etatsunis,5400,comedie,16901.0,121422,87264.0,6,319060,178,,,,17420000.0,,,
le nombre 23,2007,joel schumacher,etatsunis,5700,thriller,38618.0,237466,198672.0,6,561384,251,1.9,2.8,"[""Jim Carrey"", ""Virginia Madsen"", ""Logan Lerman"", ""Danny Huston""]",32000000.0,"[""anglais""]",117024.0,0.0
le roi lion 2019,2019,jon favreau,etatsunis,7080,aventure action,630478.0,3252896,2559370.0,1,10017995,680,,,,179000000.0,,,
comme par magie,2023,christophe barratier,france,5580,comedie,15009.0,101739,85774.0,7,205912,404,-1.0,2.9,"[""Kev Adams"", ""Gérard Jugnot"", ""Claire Chust"", ""Charlotte des Georges""]",94200000.0,"[""francais""]",145592.0,0.0
