title,year,director,country,duration,genre,first_day,first_week,first_weekend,hebdo_rank,total_spectator,copies,rating_press,rating_public,casting,budget,lang,visa,award
7h58 ce samedila,2007,sidney lumet,etatsunis,6960,thriller,8749.0,74208,60450.0,7,173224,118,3.8,3.4,"[""Philip Seymour Hoffman"", ""Ethan Hawke"", ""Marisa Tomei"", ""Albert Finney""]",18000000.0,"[""anglais""]",118634.0,0.0
holy smoke,1999,jane campion,australie,6900,drame,10135.6,72806,59784.0,11,323447,103,3.1,3.1,"[""Harvey Keitel"", ""Kate Winslet"", ""Pam Grier"", ""Julie Hamilton""]",27422000.0,"[""anglais""]",98437.0,0.0
menteur menteur,1997,tom shadyac,etatsunis,5160,comedie,64774.0,845332,422481.0,1,1551253,343,-1.0,3.2,"[""Jim Carrey"", ""Maura Tierney"", ""Swoosie Kurtz"", ""Jennifer Tilly""]",45000000.0,"[""anglais"", ""allemand""]",92086.0,0.0
le casse de central park,2011,brett ratner,etatsunis,6240,comedie,9759.0,97963,76850.0,12,175526,201,2.8,2.8,"[""Ben Stiller"", ""Eddie Murphy"", ""Casey Affleck"", ""Alan Alda""]",75000000.0,"[""anglais""]",131243.0,0.0
je fais le mort,2013,jeanpaul salome,france,6300,comedie,12107.0,102817,72040.0,8,195257,199,2.9,2.7,"[""François Damiens"", ""Géraldine Nakache"", ""Lucien Jean-Baptiste"", ""Anne Le Ny""]",9260000.0,"[""francais""]",133647.0,0.0
amour,2012,michael haneke,france,7620,drame,24928.0,214179,165660.0,7,767418,235,4.4,3.8,"[""Jean-Louis Trintignant"", ""Emmanuelle Riva"", ""Isabelle Huppert"", ""Alexandre Tharaud""]",8900000.0,"[""anglais"", ""francais""]",128207.0,25.0
tournage dans un jardin anglais,2006,michael winterbottom,grandebretagne,5640,comedie,2501.0,25500,19101.0,20,118016,63,4.0,2.4,"[""Steve Coogan"", ""Rob Brydon"", ""Keeley Hawes"", ""Shirley Henderson""]",2800000.0,"[""anglais""]",115651.0,0.0
cry macho,2021,clint eastwood,etatsunis,6240,western,18299.0,126797,102874.0,5,198141,460,3.1,2.6,"[""Clint Eastwood"", ""Dwight Yoakam"", ""Daniel V. Graulau"", ""Eduardo Minett""]",34120000.0,"[""anglais""]",-1.0,0.0
dream house,2011,jim sheridan,etatsunis,5460,thriller,20003.0,152900,130964.0,6,261717,319,1.5,2.5,"[""Daniel Craig"", ""Naomi Watts"", ""Rachel Weisz"", ""Elias Koteas""]",55000000.0,"[""anglais""]",130951.0,0.0
paris,2008,cedric klapisch,france,7800,comedie,140257.0,778154,611578.0,1,1723642,482,3.0,3.3,"[""Juliette Binoche"", ""Romain Duris"", ""Fabrice Luchini"", ""Albert Dupontel""]",13000000.0,"[""francais""]",114879.0,0.0
gazon maudit,1995,josiane balasko,france,6300,comedie,18806.0,601128,120221.4,1,3990094,254,-1.0,3.1,"[""Josiane Balasko"", ""Alain Chabat"", ""Ticky Holgado"", ""Victoria Abril""]",7030000.0,"[""francais""]",85984.0,2.0
two lovers,2008,james gray,etatsunis,6600,drame,25189.0,239193,195166.0,5,835400,229,4.4,3.7,"[""Joaquin Phoenix"", ""Gwyneth Paltrow"", ""Vinessa Shaw"", ""Isabella Rossellini""]",12000000.0,"[""anglais""]",121726.0,0.0
moi moche et mechant 2,2013,chris renaud,etatsunis,5880,animation,189370.0,1418855,1011359.0,1,4655036,799,3.7,4.0,[],79800000.0,"[""anglais""]",136935.0,0.0
matrix,1999,wachowski brothers,etatsunis,8160,science fiction,246861.0,1778279,1075054.0,1,4771685,656,3.4,4.4,"[""Keanu Reeves"", ""Laurence Fishburne"", ""Carrie-Anne Moss"", ""Hugo Weaving""]",63000000.0,"[""anglais""]",97109.0,6.0
lhomme qui murmurait a loreille des chevaux,1998,robert redford,etatsunis,9600,romance,95435.0,511833,316817.8,1,2997201,335,3.2,3.8,"[""Robert Redford"", ""Kristin Scott Thomas"", ""Scarlett Johansson"", ""Sam Neill""]",60000000.0,"[""anglais""]",-1.0,0.0
impardonnables,2011,andre techine,france,6660,drame,12738.0,80970,61949.0,12,198822,105,2.6,2.1,"[""André Dussollier"", ""Carole Bouquet"", ""Mélanie Thierry"", ""Adriana Asti""]",16106000.0,"[""francais""]",126143.0,0.0
the ryan initiative,2014,kenneth branagh,etatsunis,6000,thriller,38937.0,258323,215252.0,3,452685,397,3.1,2.8,"[""Chris Pine"", ""Kevin Costner"", ""Keira Knightley"", ""Kenneth Branagh""]",60000000.0,"[""anglais""]",138506.0,0.0
colombiana,2011,olivier megaton,france,6300,aventure action,65988.0,284215,232792.0,4,607711,415,2.3,3.1,"[""Zoe Saldana"", ""Amandla Stenberg"", ""Michael Vartan"", ""Cliff Curtis""]",45400000.0,"[""anglais""]",127277.0,0.0
le crime est notre affaire,2008,pascal thomas,france,6540,thriller,41206.0,314658,252572.0,2,1219181,330,3.9,3.2,"[""Catherine Frot"", ""André Dussollier"", ""Claude Rich"", ""Chiara Mastroianni""]",48278000.0,"[""francais""]",119480.0,2.0
un cri dans locean,1998,stephen sommers,etatsunis,6360,thriller,77412.4,228630,524350.6,5,320672,151,-1.0,2.5,"[""Treat Williams"", ""Famke Janssen"", ""Anthony Heald"", ""Kevin J. O&#039;Connor""]",45000000.0,"[""anglais""]",-1.0,0.0
larme fatale 4,1998,richard donner,etatsunis,7200,aventure action,210130.0,1154667,646169.0,1,3303483,633,-1.0,3.6,"[""Danny Glover"", ""Mel Gibson"", ""Joe Pesci"", ""Rene Russo""]",140000000.0,"[""chinois"", ""anglais"", ""italien""]",95050.0,0.0
1 chance sur 2,1998,patrice leconte,france,6600,aventure action,76704.29752953813,430015,378094.05652680655,2,1056810,536,-1.0,2.0,"[""Jean-Paul Belmondo"", ""Alain Delon"", ""Vanessa Paradis"", ""Eric Defosse""]",224575553.58251366,"[""francais""]",-1.0,0.0
ce que le jour doit a la nuit,2012,alexandre arcady,france,9540,drame,13646.0,105783,78767.0,7,290978,242,2.4,4.0,"[""Nora Arnezeder"", ""Fu&#039;ad Ait Aattou"", ""Anne Parillaud"", ""Vincent Perez""]",17000000.0,"[""algerien"", ""francais""]",122185.0,0.0
high fidelity,2000,stephen frears,etatsunis,6240,romance,54407.4,57785,235377.8,10,169524,135,3.6,3.4,"[""John Cusack"", ""Iben Hjejle"", ""Todd Louiso"", ""Lisa Bonet""]",20000000.0,"[""anglais""]",100129.0,0.0
la chute de la maison blanche,2013,antoine fuqua,etatsunis,7140,thriller,26923.0,173658,145579.0,5,334159,180,2.8,3.4,"[""Gerard Butler"", ""Aaron Eckhart"", ""Morgan Freeman"", ""Rick Yune""]",80000000.0,"[""anglais""]",136165.0,0.0
lame de fond,1996,ridley scott,etatsunis,7500,aventure action,39013.8,44487,224943.6,7,95515,90,-1.0,2.9,"[""Jeff Bridges"", ""John Savage"", ""Caroline Goodall"", ""Scott Wolf""]",38000000.0,"[""danois"", ""anglais"", ""espagnol""]",90405.0,0.0
t2 trainspotting,2017,danny boyle,grandebretagne,7020,film familial,14019.0,75702,61456.0,15,102201,254,3.1,3.4,"[""Ewan McGregor"", ""Ewen Bremner"", ""Jonny Lee Miller"", ""Robert Carlyle""]",260600000.0,"[""anglais""]",146061.0,1.0
assassins,1997,mathieu kassovitz,france,7680,thriller,76704.29752953813,181972,378094.05652680655,3,446548,257,-1.0,2.9,"[""Michel Serrault"", ""Mathieu Kassovitz"", ""Mehdi Benoufa"", ""Robert Gendreu""]",224575553.58251366,"[""francais""]",88370.0,0.0
par dela les nuages,1996,win wenders,france,6900,drame,76704.29752953813,94866,378094.05652680655,7,284076,60,-1.0,2.8,"[""Fanny Ardant"", ""John Malkovich"", ""Sophie Marceau"", ""Chiara Caselli""]",224575553.58251366,"[""anglais"", ""francais"", ""italien""]",84460.0,0.0
true lies,1994,james cameron,etatsunis,8640,aventure action,179119.6,590566,414238.2,1,1891086,462,-1.0,3.4,"[""Arnold Schwarzenegger"", ""Jamie Lee Curtis"", ""Bill Paxton"", ""Tom Arnold""]",100000000.0,"[""arabic"", ""anglais"", ""francais"", ""allemand""]",85850.0,1.0
mes doubles ma femme et moi,1996,harold ramis,etatsunis,6600,comedie,76704.29752953813,129718,378094.05652680655,4,387330,180,-1.0,2.9,"[""Michael Keaton"", ""Andie MacDowell"", ""Harris Yulin"", ""Richard Masur""]",224575553.58251366,"[""anglais""]",-1.0,0.0
de lombre a la lumiere,2005,ron howard,etatsunis,8640,drame,28297.0,167074,146390.0,4,331804,404,-1.0,-1.0,[],132040000.0,"[""""]",-1.0,0.0
le droit de tuer,1996,joel schumacher,etatsunis,8940,thriller,110142.8,116014,165821.6,6,262886,145,-1.0,3.6,"[""Matthew McConaughey"", ""Sandra Bullock"", ""Samuel L. Jackson"", ""Kevin Spacey""]",40000000.0,"[""anglais""]",90875.0,0.0
happy new year,2011,gary marshall,etatsunis,7020,romance,48810.0,232819,151319.0,7,540798,344,1.5,2.6,"[""Robert De Niro"", ""Ashton Kutcher"", ""Zac Efron"", ""Katherine Heigl""]",56000000.0,"[""anglais""]",131430.0,0.0
victor,2009,thomas gilou,france,5700,comedie,13410.0,99045,82355.0,7,147315,309,2.4,1.7,"[""Pierre Richard"", ""Lambert Wilson"", ""Clémentine Célarié"", ""Antoine Duléry""]",204000000.0,"[""francais""]",120646.0,0.0
hommes femmes mode demploi,1996,claude lelouch,france,7320,drame,58473.8,525048,278802.4,2,1266030,390,-1.0,3.0,"[""Pierre Arditi"", ""Fabrice Luchini"", ""Caroline Cellier"", ""Alessandra Martines""]",8000000.0,"[""francais""]",89132.0,0.0
the lady,2011,luc besson,france,7620,drame,36155.0,223314,178594.0,6,495943,332,2.4,3.7,"[""Michelle Yeoh"", ""David Thewlis"", ""Benedict Wong"", ""Htun Lin""]",491198000.0,"[""anglais""]",127872.0,0.0
les apprentis,1995,pierre salvadori,france,5700,comedie,27743.4,45081,175618.6,10,599328,48,-1.0,3.5,"[""François Cluzet"", ""Guillaume Depardieu"", ""Judith Henry"", ""Claire Laroche""]",2450000.0,"[""francais""]",85750.0,1.0
le mariage de mon meilleur ami,1997,pj hogan,etatsunis,6300,romance,76290.0,558871,454359.0,1,2201013,314,2.5,2.8,"[""Julia Roberts"", ""Dermot Mulroney"", ""Cameron Diaz"", ""Rupert Everett""]",46000000.0,"[""anglais""]",92441.0,0.0
armageddon,1998,michael bay,etatsunis,9000,science fiction,270669.0,1217814,938122.0,1,4618327,635,-1.0,3.4,"[""Bruce Willis"", ""Billy Bob Thornton"", ""Ben Affleck"", ""Liv Tyler""]",140000000.0,"[""anglais""]",94959.0,0.0
a la poursuite de demain,2015,brad bird,etatsunis,7800,science fiction,46306.0,418815,296306.0,2,925754,551,3.2,3.2,"[""George Clooney"", ""Hugh Laurie"", ""Britt Robertson"", ""Raffey Cassidy""]",190000000.0,"[""anglais""]",142157.0,0.0
lheure dete,2008,olivier assayas,france,6000,comedie dramatique,21258.0,151227,119039.0,5,407534,168,3.8,2.4,"[""Juliette Binoche"", ""Charles Berling"", ""Jérémie Renier"", ""Edith Scob""]",4400000.0,"[""francais""]",118267.0,0.0
le sourire,1994,claude miller,france,5100,comedie,76704.29752953813,67647,378094.05652680655,7,179376,104,-1.0,2.4,"[""Jeanne Savary"", ""Richard Bohringer"", ""Jean-Pierre Marielle"", ""Emmanuelle Seigner""]",224575553.58251366,"[""francais""]",82257.0,0.0
tetro,2009,francis f coppola,etatsunis,7620,drame,12089.0,102108,68060.0,12,406120,113,3.8,3.7,"[""Vincent Gallo"", ""Alden Ehrenreich"", ""Maribel Verdú"", ""Klaus Maria Brandauer""]",9260000.0,"[""anglais"", ""francais"", ""espagnol""]",-1.0,0.0
coco avant chanel,2009,anne fontaine,france,6600,drame,67713.0,443370,353407.0,3,1030096,424,3.1,3.1,"[""Audrey Tautou"", ""Benoît Poelvoorde"", ""Alessandro Nivola"", ""Marie Gillain""]",19430000.0,"[""francais""]",121049.0,2.0
les rivieres pourpres,2000,mathieu kassovitz,france,6300,thriller,147903.0,972609,817733.0,1,3255184,548,3.1,3.3,"[""Jean Reno"", ""Vincent Cassel"", ""Dominique Sanda"", ""Karim Belkhadra""]",1606000000.0,"[""francais""]",97248.0,0.0
star trek,2009,jj abrams,etatsunis,7680,science fiction,59970.0,433725,373818.0,2,821717,493,3.8,3.9,"[""Chris Pine"", ""Zachary Quinto"", ""Eric Bana"", ""Simon Pegg""]",150000000.0,"[""anglais""]",122812.0,1.0
enemy,2014,denis villeneuve,canada,5400,thriller,20642.0,99480,82127.0,10,203225,157,3.5,3.0,"[""Jake Gyllenhaal"", ""Mélanie Laurent"", ""Sarah Gadon"", ""Isabella Rossellini""]",34924000.0,"[""anglais""]",140206.0,0.0
insaisissables,2013,louis leterrier,etatsunis,6960,thriller,221128.0,961911,733418.0,1,3005837,503,2.3,3.9,"[""Jesse Eisenberg"", ""Mark Ruffalo"", ""Woody Harrelson"", ""Isla Fisher""]",75000000.0,"[""anglais""]",137251.0,0.0
thor,2011,kenneth branagh,etatsunis,6840,comicbook,149381.0,895181,781303.0,1,1714453,608,3.0,3.4,"[""Chris Hemsworth"", ""Natalie Portman"", ""Anthony Hopkins"", ""Tom Hiddleston""]",150000000.0,"[""anglais""]",129383.0,0.0
la famille pierrafeu,1994,brian levant,etatsunis,5460,film familial,77412.4,165655,524350.6,2,656120,265,-1.0,1.8,"[""John Goodman"", ""Kyle MacLachlan"", ""Elizabeth Perkins"", ""Rick Moranis""]",45000000.0,"[""anglais""]",85586.0,0.0
lhomme qui voulait vivre sa vie,2010,eric lartigau,france,6900,thriller,60460.0,454568,378782.0,2,1196015,350,3.8,3.2,"[""Romain Duris"", ""Marina Foïs"", ""Catherine Deneuve"", ""Niels Arestrup""]",55600000.0,"[""francais""]",-1.0,0.0
tresor,2009,claude berri,france,5100,comedie,103227.0,347912,305042.0,2,655437,437,2.2,1.4,"[""Mathilde Seigner"", ""Alain Chabat"", ""Fanny Ardant"", ""Isabelle Nanty""]",96000000.0,"[""francais""]",120894.0,0.0
ennemis rapproches,1997,alan j pakula,etatsunis,6660,thriller,78075.0,471679,272786.0,2,1288360,411,-1.0,3.1,"[""Harrison Ford"", ""Treat Williams"", ""Brad Pitt"", ""Margaret Colin""]",80000000.0,"[""anglais""]",91480.0,0.0
avengers lere dultron,2015,joss whedon,etatsunis,8460,comicbook,333303.0,1926049,1556508.0,1,4331356,828,2.9,3.8,"[""Robert Downey Jr."", ""Chris Evans"", ""Mark Ruffalo"", ""Chris Hemsworth""]",250000000.0,"[""anglais""]",142124.0,0.0
iron man 2,2010,jon favreau,etatsunis,7500,comicbook,204491.0,1216314,1092774.0,1,2575265,722,3.1,3.4,"[""Robert Downey Jr."", ""Don Cheadle"", ""Scarlett Johansson"", ""Mickey Rourke""]",200000000.0,"[""anglais"", ""francais"", ""russe""]",125467.0,0.0
les orphelins de huang shui,2008,roger spottiswoode,etatsunis,6840,guerre,2688.0,30753,23179.0,15,46901,94,2.5,3.5,"[""Jonathan Rhys-Meyers"", ""Michelle Yeoh"", ""Radha Mitchell"", ""Chow Yun-Fat""]",40000000.0,"[""cantonais"", ""anglais""]",-1.0,0.0
elysium,2013,neil blomkamp,etatsunis,6540,science fiction,79513.4,608085,467261.0,1,1517597,468,2.7,3.4,"[""Matt Damon"", ""Jodie Foster"", ""Sharlto Copley"", ""Alice Braga""]",100000000.0,"[""anglais""]",136872.0,0.0
public enemies,2009,michael mann,etatsunis,8580,thriller,108543.0,593398,453216.0,2,1537488,471,3.8,3.4,"[""Johnny Depp"", ""Christian Bale"", ""Marion Cotillard"", ""Channing Tatum""]",80000000.0,"[""anglais""]",123394.0,0.0
laurence anyways,2012,xavier dolan,canada,9540,drame,4152.0,30726,24207.0,18,104872,53,3.5,4.2,"[""Melvil Poupaud"", ""Suzanne Clément"", ""Nathalie Baye"", ""Monia Chokri""]",26040000.0,"[""francais""]",129183.0,4.0
mr peabody et sherman les voyages dans le temps,2014,rob minkoff,etatsunis,4980,animation,50770.0,285232,231043.0,3,1415690,474,3.5,3.7,[],47460000.0,"[""anglais""]",138870.0,0.0
kiss of death,1995,barbet schroeder,etatsunis,6000,thriller,76704.29752953813,103461,378094.05652680655,3,299824,128,-1.0,2.7,"[""David Caruso"", ""Samuel L. Jackson"", ""Nicolas Cage"", ""Helen Hunt""]",224575553.58251366,"[""anglais"", ""allemand""]",87314.0,0.0
dobermann,1997,jan kounen,france,6180,thriller,76704.29752953813,233192,378094.05652680655,3,792424,330,1.0,3.2,"[""Vincent Cassel"", ""Tchéky Karyo"", ""Monica Bellucci"", ""Antoine Basler""]",224575553.58251366,"[""francais""]",89155.0,0.0
copains pour toujours,2010,dennis dugan,etatsunis,5700,comedie,14209.0,106408,90512.0,7,274284,187,1.4,2.7,"[""Adam Sandler"", ""Kevin James"", ""Chris Rock"", ""David Spade""]",155200000.0,"[""anglais""]",125763.0,1.0
rosetta,1999,dardenne freres,belgique,5400,drame,20328.0,154016,97506.2,6,705171,101,4.3,3.0,"[""Emilie Dequenne"", ""Fabrizio Rongione"", ""Olivier Gourmet"", ""Anne Yernaux""]",14200000.0,"[""francais""]",95273.0,2.0
mes meilleures amies,2011,paul feig,etatsunis,7500,comedie,33798.0,222753,168803.0,7,557712,275,3.9,3.0,"[""Kristen Wiig"", ""Rose Byrne"", ""Maya Rudolph"", ""Melissa McCarthy""]",227856000.0,"[""anglais""]",129922.0,3.0
world war z,2013,marc foster,etatsunis,6960,aventure action,458814.0,1209900,1013257.0,1,2444735,707,2.9,3.5,"[""Brad Pitt"", ""Mireille Enos"", ""Elyes Gabel"", ""James Badge Dale""]",190000000.0,"[""arabic"", ""anglais"", ""hebreu"", ""espagnol""]",136382.0,0.0
alex cross,2012,rob cohen,etatsunis,6060,thriller,6845.0,54738,42940.0,14,112495,132,1.3,1.8,"[""Tyler Perry"", ""Edward Burns"", ""Matthew Fox"", ""Jean Reno""]",45000000.0,"[""anglais""]",135243.0,0.0
hot fuzz,2007,edgar wright,grandebretagne,7200,comedie,15711.0,101302,38320.0,5,166744,149,3.6,3.9,"[""Simon Pegg"", ""Martin Freeman"", ""Bill Nighy"", ""Nick Frost""]",8000000.0,"[""anglais""]",118328.0,0.0
le bal des actrices,2009,maiwenn,france,6300,musical,15882.0,128503,104514.0,11,318848,116,4.0,3.2,"[""Jeanne Balibar"", ""Romane Bohringer"", ""Julie Depardieu"", ""Mélanie Doutey""]",118564000.0,"[""francais""]",118050.0,0.0
minuit a paris,2011,woody allen,etatsunis,5640,romance,43294.0,545601,435462.0,2,1739215,406,4.2,3.7,"[""Owen Wilson"", ""Rachel McAdams"", ""Michael Sheen"", ""Marion Cotillard""]",31136000.0,"[""anglais""]",129803.0,3.0
k,1997,alexandre arcady,france,8100,thriller,76704.29752953813,195837,378094.05652680655,5,464465,314,-1.0,2.7,"[""Patrick Bruel"", ""Isabella Ferrari"", ""Marthe Keller"", ""Pinkas Braun""]",224575553.58251366,"[""francais""]",90144.0,0.0
le diner de cons,1998,francis veber,france,4800,comedie,165932.0,1157996,911008.0,1,9247001,404,-1.0,4.2,"[""Thierry Lhermitte"", ""Jacques Villeret"", ""Francis Huster"", ""Daniel Prévost""]",1250000000.0,"[""""]",83345.0,5.0
assassins,1995,richard donner,etatsunis,8100,thriller,87022.6,232590,255075.0,4,504354,-1,-1.0,2.7,"[""Sylvester Stallone"", ""Antonio Banderas"", ""Julianne Moore"", ""Steve Kahan""]",50000000.0,"[""anglais""]",88213.0,0.0
sphere,1998,barry levinson,etatsunis,7980,science fiction,76704.29752953813,299471,378094.05652680655,3,663845,374,-1.0,2.4,"[""Dustin Hoffman"", ""Sharon Stone"", ""Samuel L. Jackson"", ""Peter Coyote""]",224575553.58251366,"[""anglais""]",94259.0,0.0
desperado,1995,robert rodriguez,etatsunis,6420,aventure action,28093.0,170237,141366.0,3,420101,201,-1.0,3.4,"[""Antonio Banderas"", ""Salma Hayek"", ""Steve Buscemi"", ""Joaquim de Almeida""]",202240000.0,"[""anglais"", ""espagnol""]",88248.0,0.0
prisoners,2013,denis villeneuve,etatsunis,8760,thriller,40127.0,354954,291398.0,3,1155295,258,3.8,4.3,"[""Hugh Jackman"", ""Jake Gyllenhaal"", ""Viola Davis"", ""Maria Bello""]",46000000.0,"[""anglais""]",137951.0,0.0
anonymous,2011,roland emmerich,etatsunis,7800,thriller,3501.0,35874,28245.0,20,38732,122,-1.0,-1.0,[],28440000.0,"[""espagnol""]",-1.0,0.0
la princesse de montpensier,2010,bertrand tavernier,france,8340,comedie dramatique,42383.0,290136,233676.0,3,747990,350,3.4,3.1,"[""Mélanie Thierry"", ""Lambert Wilson"", ""Grégoire Leprince-Ringuet"", ""Gaspard Ulliel""]",41078000.0,"[""francais"", ""allemand""]",115106.0,1.0
sa majeste minor,2007,jeanjacques annaud,france,6060,comedie,20151.0,101297,88349.0,8,139521,497,2.1,1.3,"[""José Garcia"", ""Vincent Cassel"", ""Sergio Peris-Mencheta"", ""Mélanie Bernier""]",34924000.0,"[""francais""]",115971.0,0.0
my blueberry nights,2007,wong karwai,france,5640,comedie dramatique,20169.0,150199,121737.0,6,343312,229,2.8,3.3,"[""Norah Jones"", ""Jude Law"", ""Rachel Weisz"", ""Natalie Portman""]",10000000.0,"[""anglais""]",115997.0,0.0
the queen,2006,stephen frears,grandebretagne,5820,drame,37583.0,308469,252212.0,3,929194,212,4.0,3.5,"[""Helen Mirren"", ""James Cromwell"", ""Alex Jennings"", ""Gray O&#039;Brien""]",11000000.0,"[""anglais""]",113827.0,13.0
central do brasil,1998,walter salles,bresil,6300,drame,76704.29752953813,91212,378094.05652680655,7,583524,80,-1.0,3.9,"[""Fernanda Montenegro"", ""Vinicius de Oliveira"", ""Marília Pêra"", ""Othon Bastos""]",224575553.58251366,"[""allemand"", ""portugais""]",90691.0,3.0
le royaume interdit,2008,rob minkoff,etatsunis,6780,aventure action,17988.0,108439,98609.0,5,217844,175,2.5,2.8,"[""Jet Li"", ""Jackie Chan"", ""Collin Chou"", ""Michael Angarano""]",70000000.0,"[""anglais"", ""mandarin""]",-1.0,0.0
crazy night,2010,shawn levy,etatsunis,5280,comedie,40000.0,254856,224746.0,6,461816,330,3.1,2.6,"[""Steve Carell"", ""Tina Fey"", ""Mark Wahlberg"", ""Taraji P. Henson""]",55000000.0,"[""anglais"", ""hebreu""]",125883.0,0.0
le plaisir et ses petits tracas,1998,nicolas boukhrief,france,6060,comedie dramatique,76704.29752953813,30190,378094.05652680655,9,52144,100,-1.0,2.0,"[""Vincent Cassel"", ""Caroline Cellier"", ""Julie Gayet"", ""Mathieu Kassovitz""]",224575553.58251366,"[""francais""]",94506.0,0.0
les vacances de ducobu,2012,phlippe de chauveron,france,5640,film familial,119368.0,532593,440560.0,4,1056337,587,2.8,1.9,"[""Elie Semoun"", ""Joséphine de Meaux"", ""François Viette"", ""Pierre-François Martin-Laval""]",10800000.0,"[""francais""]",130629.0,0.0
les enfants du siecle,1999,diane kurys,france,8100,drame,76704.29752953813,170106,378094.05652680655,4,539374,387,2.8,3.1,"[""Juliette Binoche"", ""Benoît Magimel"", ""Robin Renucci"", ""Victoire Thivisol""]",224575553.58251366,"[""francais""]",95141.0,0.0
ensemble cest tout,2007,claude berri,france,5820,romance,82585.0,657191,548185.0,2,2312431,389,3.3,3.4,"[""Audrey Tautou"", ""Guillaume Canet"", ""Laurent Stocker"", ""Françoise Bertin""]",53600000.0,"[""francais""]",114297.0,6.0
clones,2009,jonathan mostow,etatsunis,5100,science fiction,89571.0,508980,414656.0,5,1021427,301,2.7,2.6,"[""Bruce Willis"", ""Radha Mitchell"", ""Rosamund Pike"", ""Boris Kodjoe""]",80000000.0,"[""anglais""]",124381.0,0.0
le cur des hommes 2,2007,marc esposito,france,6900,comedie,70373.0,580779,447179.0,1,1823019,517,2.5,3.0,"[""Bernard Campan"", ""Gérard Darmon"", ""Jean-Pierre Darroussin"", ""Marc Lavoine""]",254800000.0,"[""francais""]",113910.0,0.0
john carter,2012,andrew stanton,etatsunis,8400,science fiction,66583.0,475960,427676.0,2,1021013,506,3.1,3.2,"[""Taylor Kitsch"", ""Lynn Collins"", ""Samantha Morton"", ""Willem Dafoe""]",250000000.0,"[""anglais""]",132838.0,0.0
mon pire cauchemar,2011,anne fontaine,france,5940,comedie,45892.0,377935,326182.0,4,766894,420,3.0,2.3,"[""Isabelle Huppert"", ""Benoît Poelvoorde"", ""André Dussollier"", ""Virginie Efira""]",44078000.0,"[""francais""]",126687.0,0.0
date limite,2010,todd phillips,etatsunis,5700,comedie,61528.0,418659,377888.0,3,786360,385,3.1,3.3,"[""Robert Downey Jr."", ""Zach Galifianakis"", ""Michelle Monaghan"", ""Jamie Foxx""]",71348000.0,"[""anglais"", ""espagnol""]",127849.0,0.0
entretien avec un vampire,1994,neil jordan,etatsunis,7380,aventure action,87022.6,495935,255075.0,3,1636853,319,3.2,4.0,"[""Tom Cruise"", ""Brad Pitt"", ""Stephen Rea"", ""Kirsten Dunst""]",50000000.0,"[""anglais""]",86994.0,3.0
elisa,1995,jean becker,france,6900,drame,26393.4,563314,125541.6,2,2473193,254,-1.0,2.9,"[""Vanessa Paradis"", ""Gérard Depardieu"", ""Clotilde Courau"", ""Sekkou Sall""]",11160000.0,"[""francais""]",85194.0,2.0
eden a louest,2009,costagavras,france,6600,drame,9392.0,66019,52501.0,19,111810,124,2.8,3.1,"[""Riccardo Scamarcio"", ""Eric Caravaca"", ""Ulrich Tukur"", ""Anny Duperey""]",101400000.0,"[""anglais"", ""francais"", ""allemand"", ""grec""]",119541.0,1.0
les ailes de lenfer,1997,simon west,etatsunis,6600,aventure action,210174.8,445465,571826.2,3,1010131,500,-1.0,3.2,"[""Nicolas Cage"", ""John Malkovich"", ""John Cusack"", ""Rachel Ticotin""]",75000000.0,"[""anglais""]",-1.0,0.0
w limprobable president,2008,oliver stone,etatsunis,7740,drame,19285.0,110741,91695.0,9,163677,245,2.6,2.4,"[""Josh Brolin"", ""James Cromwell"", ""Ellen Burstyn"", ""Elizabeth Banks""]",46400000.0,"[""anglais"", ""espagnol""]",121846.0,0.0
jeanne darc,1999,luc besson,france,9600,aventure action,101257.0,1017149,651388.0,2,2991860,590,-1.0,3.6,"[""Leelee Sobieski"", ""Jacqueline Bisset"", ""Powers Boothe"", ""Neil Patrick Harris""]",20000000.0,"[""anglais""]",-1.0,0.0
quai dorsay,2013,bertrand tavernier,france,6780,comedie,39344.0,372944,251613.0,3,887846,341,3.4,3.0,"[""Thierry Lhermitte"", ""Raphaël Personnaz"", ""Niels Arestrup"", ""Bruno Raffaelli""]",16364000.0,"[""francais""]",131152.0,2.0
la guerre des miss,2009,patrice leconte,france,5280,comedie,12851.0,113372,97758.0,10,170086,366,1.7,1.5,"[""Benoît Poelvoorde"", ""Olivia Bonamy"", ""Christian Charmetant"", ""Laurent Gamelon""]",185000000.0,"[""francais""]",119839.0,0.0
deepwater,2016,peter berg,etatsunis,6420,catastrophe,24606.0,174284,148955.0,6,316798,323,3.3,3.8,"[""Mark Wahlberg"", ""Dylan O&#039;Brien"", ""Kate Hudson"", ""Kurt Russell""]",110000000.0,"[""anglais""]",143534.0,0.0
larry flynt,1997,milos forman,etatsunis,7800,drame,27696.0,189860,110994.4,7,498828,151,-1.0,3.4,"[""Woody Harrelson"", ""Courtney Love"", ""Edward Norton"", ""Brett Harrelson""]",36000000.0,"[""anglais""]",-1.0,3.0
spectre,2015,sam mendes,grandebretagne,9000,aventure action,850297.0,2203549,1977848.0,1,4982985,902,3.0,3.6,"[""Daniel Craig"", ""Christoph Waltz"", ""Léa Seydoux"", ""Ralph Fiennes""]",245000000.0,"[""anglais""]",142645.0,0.0
